job_id,job_title,skills
849,Remote Azure Data Integration Engineer (DP-600/700),"['Azure', 'Data Integration', 'SQL', 'PySpark', 'Dynamics 365', 'CI/CD', 'Documentation']"
848,Azure Big data Engineer | 4 to 8 Yrs | WFO | SOW 2779,"['Azure Databricks', 'Azure Synapse', 'Azure Data Factory (ADF)', 'Azure Integration Services', 'Azure Functions', 'Azure Data Lake', 'Azure API Management', 'CI/CD', 'PowerShell Scripts', 'ETL Pipelines', 'Unity Catalog', 'Azure SQL Database', 'SQL Coding']"
847,"Senior Database Engineer- Riyadh, KSA","['Microsoft SQL Server', 'Oracle Databases', 'Database Clustering', 'Database Replication', 'Disaster Recovery (DR)', 'SQL Query Performance Tuning']"
846,Database Engineer,"['Database Management', 'Performance Monitoring', 'Data Integrity', 'Security', 'Backup Procedures', 'Technical Support']"
845,Azure Data Engineer,"['Azure Databricks', 'PySpark', 'SQL', 'Python', 'Machine Learning', 'Azure Data Factory', 'GitHub', 'Azure DevOps']"
844,"Azure Data Architect: Real-Time, Scalable Pipelines Lead","['Data Engineering', 'Architect', 'Scalable Solutions', 'Real-Time Pipelines', 'Batch Pipelines', 'ETL Development', 'ELT Development', 'Business Collaboration', 'Technology Teams', 'Secure Solutions', 'Cloud Environments']"
843,Senior Azure Data & Platform Engineer,"['Azure Data Factory', 'Azure Logic Apps', 'Azure Databricks']"
842,"Lead Software Engineer - Java, Spring Boot, Microservices, REST APIs, OAuth, Kafka, Azure",[]
841,Sr. Azure Data Engineer,"['Python', 'SQL', 'T-SQL', 'Stored Procedures', 'Functions', 'Data Lakes', 'Azure Analysis Services', 'Azure Databricks', 'Power BI']"
840,Big Data Platform Engineer,"['Azure Kubernetes Service', 'Docker', 'Infrastructure as Code (Terraform/Bicep)', 'Apache NiFi', 'Azure Event Hub', 'Azure Functions', 'CI/CD Pipelines', 'Azure DevOps', 'Azure Monitor', 'Log Analytics', 'Kubernetes Networking', 'Platform Security', 'Governance', 'Compliance', 'Data Engineering Teams', 'Platform Upgrades', 'Patch Management', 'Capacity Planning', 'Performance Optimization', 'Production Incidents']"
839,Senior Backend Engineer,"['Python', 'IoT', 'Data Ingestion', 'Real-time Processing', 'API Integration', 'ERP Syncing', 'Multi-Tenant Architecture', 'Enterprise Customer Support']"
838,Senior Data and Backend Engineer - INTL India,"['Hands-On', 'Core Data Engineering', 'Strong Software Engineering Fundamentals', 'Deep Expertise in Building Scalable Data Solutions', 'Coding Background', 'Experience Developing Business Logic', 'Optimizing Large-Scale Data Processing Systems', 'Building High-Performance Data Applications on GCP', 'Developing and Maintaining Spark Jobs', 'Enhancing Business Logic Within Data Pipelines', 'Integrating with Kafka and BigQuery', 'Improving Performance and Scalability of Data Platform']"
837,Database Engineer,"['Database Management', 'Performance Monitoring', 'Data Integrity', 'Security', 'Backup Procedures', 'Technical Support']"
836,Backend support executive,"['Medical Terminology', 'English Communication Skills', 'Attention to Detail', 'EHR Systems', 'Google Workspace']"
835,Backend Developer (Node.js),"['Node.js', 'RESTful APIs', 'microservices', 'relational databases', 'NoSQL databases', 'authentication', 'authorization', 'databases', 'performance optimization', 'code review', 'software engineering best practices', 'automated testing', 'CI/CD pipelines']"
834,Backend Engineer (Python/Django) for Scalable REST APIs,"['Backend', 'Software Engineering', 'Python', 'Django']"
833,"AI-Driven Backend Engineer — FastAPI, Postgres & Cloud","['Python', 'FastAPI', 'PostgreSQL', 'Cloud Services', 'AI Integration']"
832,Senior Software Engineer I - Backend,"['AI', 'Automation', 'Problem-solving', 'Data analysis', 'Machine learning', 'Customer experience', 'Internal system optimization']"
831,Lead - Backend Engineer,"['Backend Development', 'Microservices Architecture', 'Serverless Design', 'AWS Expertise', 'Elasticsearch/OpsWorks', 'Distributed Systems', 'Event-Driven Patterns', 'Queues/Streams', 'Databases', 'Caching', 'Docker', 'Kubernetes', 'CI/CD Pipelines']"
830,Oracle Developer & Tech Lead for Insurance Systems,"['Oracle', 'Developer', 'Insurance', 'Takaful', 'BI', 'Systems Design', 'Front-end Application Development', 'Custom Forms Creation', 'Reports Creation', 'Business Requirements Evaluation', 'IT Development', 'Core App', 'Takaful', 'Jasper Environment', 'Daily System Operation', 'PL/SQL ETL Processes', 'Coding Standards', 'Documentation']"
829,internee in College Administration,"['advising', 'organizing', 'planning']"
828,Hardware Security Intern,"['Python', 'C/C++', 'Verilog/SystemVerilog']"
827,Php Laravel Developer Intern,"['PHP', 'Laravel', 'Object-Oriented Programming (OOP)', 'HTML', 'CSS', 'JavaScript']"
826,Data Analyst / Data Scientist (Remote),"['Python', 'Database Skills', 'Data Cleaning', 'Data Analysis', 'Internal Data Sources', 'External Data Sources', 'Automated Tools', 'Program Managers', 'Business Analysts', 'Top Management']"
825,Data Analyst,"['Data Analyst', 'Data Scientist', 'Technical Skills', 'Commercial Acumen', 'Analytical Support', 'Cross-Functional Teams', 'Independent Work', 'Collaborative Work']"
824,Internship for php laravel developer,"['PHP', 'Web Development', 'JavaScript', 'CSS', 'HTML', 'MySQL', 'Laravel']"
823,Data Analyst Intern (Leading to Full-Time Role),"['Data Analysis', 'Power BI', 'SQL', 'Excel', 'Data Processing', 'Reporting', 'Analytics', 'Business Decision Making']"
822,"Data Analyst Intern — Mentored, Paid, Path to Full-Time","['Data Analyst', 'Power BI', 'KPIs', 'Communication Skills']"
821,Cybersecurity Intern for BD / Pre Sales,"['Cybersecurity', 'Offensive & Defensive Security', 'Penetration Testing', 'SOC 2', 'ISO 27001', 'Software Development']"
820,Power BI Financial Analyst Instructor,"['Excel', 'Power BI', 'Financial Modeling', 'Forecasting', 'Budgeting', 'Data Visualization', 'Spreadsheet Building']"
819,Budgeting & Reporting Manager | Power BI Expert,"['Power BI', 'Cross-functional Collaboration', 'Proactive Approach', 'Results-Driven']"
818,Lead Power BI Developer,"['Power BI Desktop', 'Power BI Service', 'Power BI Report Server', 'DAX', 'Power Query', 'SQL', 'Data Warehousing']"
817,Senior Power BI Visualization Engineer,"['Data Analysis', 'Modeling', 'Stakeholder Engagement', 'Power BI', 'DAX', 'Performance Optimization', 'Governance', 'Quality Assurance']"
816,Senior Power BI,"['Power BI', 'Data Modeling', 'Cloud-Based BI Architecture', 'Microsoft Fabric', 'Azure Data Platform', 'Data Engineering', 'Scalable Analytics Solutions', 'Strategic Decision-Making']"
815,Automation Consultant,"['Automation', 'Process Analysis', 'Client Interaction', 'Assessment', 'Improvement Recommendations', 'Implementation Guidance']"
814,Shopiy wordpress full time devloper,"['Python', 'Web Development', 'Responsive Design', 'Plugin Integration', 'Site Optimization', 'Cross-Browser Compatibility']"
813,Ai automation,"['AI', 'Automation', 'Engineering', 'Marketing', 'Product Development', 'Web Apps', 'SaaS Platforms', 'MVP Development', 'WordPress', 'Shopify Builds', 'Digital Marketing', 'Automation Tools', 'No-Code/Low-Code Platforms', 'Integrations', 'APIs']"
812,Microsoft Power BI Developer,"['Power BI', 'Data Visualization', 'Data Modeling', 'Reporting', 'Business Intelligence']"
811,"Web Developer (WordPress, Automation & AI)","['Python', 'WordPress', 'Responsive Design', 'User Experience', 'SEO Optimization', 'HTML', 'CSS', 'JavaScript', 'PHP', 'Automation', 'AI Tools', 'Emerging Technologies', 'Website Development', 'Business Processes', 'Digital Workflows', 'Problem Solving', 'Learning New Technologies', 'Automating Repetitive Tasks']"
810,.Net Developer,"['Engineering', 'Data Science', 'Design']"
809,Senior Full-Stack Engineer: .NET + Vue/React (Global SaaS),"['Full-Stack', 'Frontend', 'Backend', 'Insurance', 'Scalable Software', 'Performance', 'Security', 'Modern Technologies', 'Best Practices', 'International Team', 'Global Reach']"
808,Internship for php laravel developer,"['PHP', 'Web Development', 'JavaScript', 'CSS', 'HTML', 'MySQL', 'Laravel']"
807,Vue.Js Front-End On-Site Internship Bahawalpur (Female Only),"['Vue.js', 'Front-End', 'HTML', 'CSS', 'Bootstrap', 'JavaScript']"
806,Finance & Commercials Intern: Odoo 18 & RFQ Experience,"['Finance', 'Commercials', 'Odoo 18 ERP']"
805,"Software Engineer Intern (PHP, Laravel, SuiteCRM)","['PHP', 'Laravel']"
804,"Azure Data Architect: Real-Time, Scalable Pipelines Lead","['Data Engineering', 'Architect', 'Scalable Solutions', 'Real-Time Pipelines', 'Batch Pipelines', 'ETL Development', 'ELT Development', 'Business Collaboration', 'Technology Teams', 'Secure Solutions', 'Cloud Environments']"
